N,k,Trials,Time Mean,Time Std,Time Min,Time Max,Depth Mean,Depth Std,Depth Min,Depth Max,Fidelity Mean,Fidelity Std,Fidelity Min,Fidelity Max,Success Rate Mean,Success Rate Std
2,3,5,3.0241999999999996,1.076626100370969,2.341,5.154,130.4,14.207040508142432,113,142,0.8094360316258763,0.22805187850717187,0.49859370295008204,0.9987634657216885,0.23220000000000002,0.21505088932622435
2,4,5,2.2339999999999995,0.19363574050262522,1.87,2.414,209.0,17.561321134812154,187,224,0.9176975042257374,0.15683564464093208,0.6040886175144546,0.9997621894114768,0.26264999999999994,0.17535040632972593
2,5,5,2.4379999999999997,0.2721404049383333,2.086,2.915,298.0,42.004761634843256,214,320,0.9876547048897197,0.01436786498728682,0.9626515452176445,0.9997612937154892,0.24159999999999998,0.2069500302005293
2,6,5,2.4806000000000004,0.23172362848876676,2.184,2.87,395.6,0.48989794855663565,395,396,0.9955597795491524,0.006473563647710907,0.9827552608909675,0.9999651944720471,0.1663,0.10586493753835592
2,7,5,2.7264,0.189302509227955,2.399,2.943,817.4,0.48989794855663565,817,818,0.9984963310062789,0.002195474035326272,0.9941792353575046,0.9999997713332818,0.26125,0.10604998821310636
4,3,5,3.6362,0.16943010358256883,3.348,3.834,288.6,14.207040508142432,277,306,0.8169435148399959,0.06095615036134712,0.726331374840616,0.8874585348473477,0.32504999999999995,0.1743533158560513
4,4,5,4.575999999999999,0.19343732835210461,4.24,4.781,446.0,0.0,446,446,0.7261759672393111,0.1932504767807611,0.51273650533136,0.980880693508726,0.042425,0.028862453984372153
4,5,5,5.2324,0.2754847364192796,4.807,5.644,695.4,26.05071975973025,663,717,0.9110787256185995,0.08309399584197005,0.7798504005493411,0.9991939467938735,0.054400000000000004,0.06144003173827305
4,6,5,5.327,0.39632915613161757,4.829,5.963,931.4,54.70137109798986,822,959,0.9775259280181519,0.03340328574379428,0.911666204637312,0.9997404739028289,0.19105,0.1846912558839752
4,7,5,6.0732,0.18536277943535479,5.732,6.242,1737.2,136.15050495683076,1499,1840,0.9265361414972089,0.12688637899209002,0.6732898563531446,0.999951496697769,0.10105,0.1009024776702733
8,3,5,11.2334,0.4893193640149546,10.663,11.982,983.2,12.480384609458156,964,1000,0.7559370831231302,0.0814335907890002,0.6021845583665643,0.839952263969922,0.1639,0.07938157059418766
8,4,5,12.5806,0.715014573278056,11.604,13.749,1410.2,27.981422408448072,1363,1438,0.7777821232966178,0.09186187667083219,0.6497215260031418,0.9190925777501053,0.071675,0.010995339921985134
8,5,5,13.607,0.48986937034274797,13.008,14.304,1936.2,66.52337934891763,1873,2029,0.8721700513918588,0.01463859357364303,0.8495868423883461,0.8889518963688126,0.0442125,0.014210614430769701
8,6,5,16.6214,0.2533642437282734,16.236,16.883,2717.4,53.4475443776419,2653,2798,0.88774645056937,0.08581285041088428,0.7283439676610808,0.9639974752833703,0.035275,0.02316289462696751
8,7,5,19.0272,0.3138785752484553,18.66,19.521,4741.2,69.59137877639729,4675,4876,0.9237036639508863,0.05912605208039333,0.8226289374002069,0.9766161709343572,0.036825,0.024311629161781815
16,3,5,38.1372,0.45085314682277655,37.501,38.606,4338.4,18.553705829294586,4309,4356,0.5562862161289097,0.12576418306415463,0.35405425200323776,0.729816700550976,0.13853125,0.051939380230707405
16,4,5,47.5012,0.7699411406075143,46.748,48.973,5789.0,9.09945053286186,5771,5796,0.6813247979653105,0.12394531932403209,0.5240093487855466,0.8615051165283684,0.1398,0.0513112690169031
16,5,5,54.858000000000004,1.3230699150082739,53.447,57.325,7216.2,17.611359970201054,7193,7236,0.8214662995597365,0.06823239442937917,0.6929055514542335,0.8791993297163663,0.07544375,0.04245240625541737
16,6,5,73.42960000000001,21.907156352206005,61.18,117.196,8986.0,69.01594018775663,8888,9092,0.7898541577857048,0.13774015783340265,0.5595747745098582,0.9640320739798511,0.0338375,0.025697203155207383
16,7,5,74.4592,0.4698175816207831,73.52,74.718,13284.2,84.89852766685651,13175,13359,0.7368476800381278,0.18426523374732295,0.3939592270950951,0.9533220746640438,0.014831249999999999,0.00880577314180873
